#======= TRAJECTORY BEGIN: 2 piece - left of speaker - move 1 - forward
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    15.883       6.534       2.094       0.000       0.000       0.000       1.200
#--------Waypoint:    14.308       6.977       3.142       1.171       1.142       1.047       3.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.30200  m/s
#--------Maximum Acceleration:      2.54000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.30200  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    2.54000,   -0.00000,    0.00000,    0.00000,    1.15084,Segment:  1
   0.17102,    0.43438,    2.54000,    0.03713,    0.00082,    0.04475,    1.25789,Segment:  2
   0.24085,    0.61177,    2.54000,    0.07358,    0.00331,    0.09252,    1.35505,Segment:  3
   0.29396,    0.74666,    2.54000,    0.10940,    0.00754,    0.14293,    1.43696,Segment:  4
   0.33850,    0.85979,    2.54000,    0.14467,    0.01356,    0.19551,    1.49851,Segment:  5
   0.37770,    0.95935,    2.54000,    0.17944,    0.02143,    0.24968,    1.53549,Segment:  6
   0.41324,    1.04964,    2.54000,    0.21378,    0.03120,    0.30477,    1.54526,Segment:  7
   0.44618,    1.13331,    2.54000,    0.24777,    0.04293,    0.36009,    1.52720,Segment:  8
   0.47721,    1.21212,    2.54000,    0.28146,    0.05669,    0.41494,    1.48281,Segment:  9
   0.50683,    1.28735,    2.54000,    0.31491,    0.07252,    0.46865,    1.41549,Segment:  10
   0.53541,    1.35995,    2.54000,    0.34821,    0.09049,    0.52063,    1.32998,Segment:  11
   0.56325,    1.43065,    2.54000,    0.38140,    0.11065,    0.57040,    1.23168,Segment:  12
   0.59056,    1.50002,    2.54000,    0.41456,    0.13306,    0.61759,    1.12600,Segment:  13
   0.64430,    1.63652,    2.54000,    0.48104,    0.18486,    0.70330,    0.91111,Segment:  14
   0.69771,    1.77218,    2.54000,    0.54816,    0.24635,    0.77694,    0.71328,Segment:  15
   0.75149,    1.90878,    2.54000,    0.61646,    0.31799,    0.83887,    0.54585,Segment:  16
   0.80609,    2.04746,   -1.20573,    0.68645,    0.40024,    0.89017,    0.41147,Segment:  17
   0.86473,    1.97675,   -2.54000,    0.75866,    0.49356,    0.93220,    0.30711,Segment:  18
   0.89729,    1.89403,   -2.54000,    0.79576,    0.54451,    0.95018,    0.26460,Segment:  19
   0.93291,    1.80356,   -2.54000,    0.83362,    0.59840,    0.96635,    0.22764,Segment:  20
   0.97214,    1.70393,   -2.54000,    0.87228,    0.65529,    0.98087,    0.19558,Segment:  21
   1.01570,    1.59329,   -2.54000,    0.91183,    0.71523,    0.99389,    0.16781,Segment:  22
   1.06464,    1.46897,   -2.54000,    0.95233,    0.77828,    1.00554,    0.14378,Segment:  23
   1.12055,    1.32697,   -2.54000,    0.99384,    0.84450,    1.01594,    0.12301,Segment:  24
   1.18605,    1.16060,   -2.54000,    1.03643,    0.91395,    1.02520,    0.10506,Segment:  25
   1.26620,    0.95701,   -2.54000,    1.08016,    0.98668,    1.03344,    0.08955,Segment:  26
   1.37392,    0.68339,   -2.54000,    1.12511,    1.06276,    1.04074,    0.07616,Segment:  27
   1.64297,    0.00000,   -2.54000,    1.17132,    1.14223,    1.04720,    0.06458,Segment:  28
#======= TRAJECTORY END: 2 piece - left of speaker - move 1 - forward
